sex,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,*,Never-married,*,United-States,*,*,<=50K
Male,White,Married-civ-spouse,Undergraduate,North America,Self-emp-not-inc,Nontechnical,<=50K
Male,*,Divorced,HS-grad,North America,Non-Government,*,<=50K
Male,*,Married-civ-spouse,*,*,Non-Government,*,<=50K
*,*,*,*,*,*,*,<=50K
Female,White,spouse present,*,North America,*,*,<=50K
*,Black,*,*,North America,Non-Government,*,<=50K
Male,*,*,*,North America,*,Nontechnical,>50K
Female,White,*,Higher education,United-States,*,Prof-specialty,>50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,>50K
*,*,*,*,*,*,*,>50K
*,*,*,*,*,Government,*,>50K
*,*,Never-married,Higher education,*,Private,*,<=50K
*,*,spouse not present,*,North America,Private,*,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,Other,<=50K
Male,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,White,Married-civ-spouse,*,*,Non-Government,Nontechnical,<=50K
Female,White,spouse not present,Higher education,United-States,Non-Government,*,>50K
Male,*,*,*,North America,Private,Technical,>50K
Female,Black,spouse not present,*,North America,Private,*,<=50K
Male,*,Married-civ-spouse,High School,United-States,Government,*,<=50K
Male,White,Married-civ-spouse,High School,North America,*,Other,<=50K
Female,White,*,*,*,Non-Government,*,<=50K
Male,*,*,Higher education,North America,Government,Technical,>50K
Male,White,spouse not present,High School,North America,Non-Government,*,<=50K
Male,*,Divorced,HS-grad,North America,Non-Government,*,<=50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
Male,*,Never-married,*,United-States,*,*,<=50K
*,*,spouse not present,*,North America,Private,*,<=50K
Male,White,Divorced,Higher education,North America,Non-Government,*,<=50K
*,*,*,*,*,*,Other,<=50K
*,*,*,*,*,Government,*,<=50K
Male,White,*,High School,North America,*,Technical,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Female,White,*,High School,North America,Private,*,<=50K
Male,White,Married-civ-spouse,*,United-States,*,Technical,<=50K
Male,White,Married-civ-spouse,High School,*,Non-Government,Technical,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Female,*,*,*,North America,Non-Government,Adm-clerical,<=50K
Male,White,spouse not present,High School,United-States,Non-Government,*,<=50K
*,*,*,*,*,*,*,>50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
*,White,spouse not present,Higher education,North America,Private,*,<=50K
Male,White,*,*,North America,Government,Technical,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
*,*,*,*,*,*,*,<=50K
Female,*,*,*,*,*,*,>50K
Male,White,*,*,*,*,*,>50K
Male,*,Divorced,HS-grad,North America,Non-Government,*,<=50K
Male,*,*,*,North America,Private,Technical,>50K
Male,*,*,*,*,*,*,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,Other,<=50K
Male,White,Married-civ-spouse,High School,North America,Private,Other,<=50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
Male,White,Married-civ-spouse,Higher education,North America,Non-Government,Sales,<=50K
Male,White,Married-civ-spouse,High School,North America,Private,Other,<=50K
Male,*,*,*,North America,Private,Technical,>50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
Female,White,spouse not present,Undergraduate,United-States,Non-Government,*,<=50K
Female,White,*,High School,North America,Private,*,>50K
Male,White,Married-civ-spouse,Undergraduate,United-States,Self-emp-inc,*,>50K
Male,*,*,*,*,Non-Government,Technical,<=50K
*,*,*,*,*,*,*,<=50K
Male,White,*,Higher education,North America,Non-Government,Nontechnical,>50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,*,*,*,North America,Private,Technical,<=50K
*,*,*,High School,*,Non-Government,*,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,Other,<=50K
Female,White,*,*,North America,Non-Government,Other,<=50K
Male,White,*,High School,United-States,*,Other,<=50K
Male,White,spouse not present,High School,United-States,Non-Government,*,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,Other,<=50K
Female,White,*,High School,North America,Private,*,<=50K
Male,White,Married-civ-spouse,High School,*,Non-Government,Nontechnical,<=50K
Female,White,*,*,*,Non-Government,*,>50K
Female,*,spouse not present,High School,*,Private,*,<=50K
Male,*,*,HS-grad,*,Government,Other,>50K
Male,*,*,*,North America,Private,Technical,<=50K
Male,*,*,*,North America,Non-Government,Nontechnical,<=50K
Female,White,Never-married,Higher education,North America,Government,Technical,>50K
Male,*,*,*,North America,Private,Technical,<=50K
*,White,spouse not present,Higher education,North America,Non-Government,*,<=50K
*,*,*,*,North America,*,*,<=50K
*,*,*,*,*,*,Other,>50K
Male,*,Never-married,*,United-States,*,*,<=50K
Male,White,Married-civ-spouse,*,United-States,*,Technical,>50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K
Female,*,*,Higher education,*,*,*,<=50K
*,Black,spouse not present,High School,United-States,*,*,<=50K
Male,White,Married-civ-spouse,*,*,Non-Government,Nontechnical,>50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,>50K
Female,White,*,Higher education,United-States,*,Prof-specialty,<=50K
*,*,spouse not present,Undergraduate,United-States,Private,*,<=50K
Male,White,spouse not present,High School,North America,Non-Government,*,<=50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,>50K
Male,White,spouse not present,High School,United-States,Non-Government,*,<=50K
*,*,spouse not present,*,*,Government,Other,<=50K
Male,White,Married-civ-spouse,High School,*,Non-Government,Nontechnical,<=50K
Male,White,spouse not present,Higher education,United-States,Non-Government,*,<=50K
Male,*,*,*,North America,Private,Technical,>50K
Male,White,Married-civ-spouse,High School,North America,*,Other,>50K
Female,White,*,Higher education,*,*,Nontechnical,<=50K
Female,White,spouse not present,HS-grad,United-States,Private,*,<=50K
Male,White,Married-civ-spouse,High School,*,Non-Government,Nontechnical,<=50K
Male,White,Married-civ-spouse,Undergraduate,United-States,Self-emp-inc,*,<=50K
*,*,*,*,*,Government,*,>50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
Male,White,spouse not present,High School,North America,Non-Government,*,<=50K
*,*,Never-married,Higher education,*,Private,*,<=50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,<=50K
Male,*,spouse not present,*,*,Non-Government,*,<=50K
Male,*,*,Higher education,North America,Government,Technical,>50K
*,Black,*,*,North America,Non-Government,*,<=50K
Female,White,*,Higher education,*,*,Nontechnical,>50K
*,*,Never-married,Higher education,*,Private,*,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,Other,>50K
Male,White,Divorced,Higher education,*,Non-Government,Craft-repair,<=50K
Female,White,spouse not present,*,North America,Private,Nontechnical,<=50K
Female,*,*,HS-grad,*,Non-Government,*,<=50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
Male,White,Married-civ-spouse,Higher education,North America,Non-Government,Sales,<=50K
*,*,spouse not present,*,North America,Private,*,<=50K
*,*,*,*,*,Government,*,>50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
Female,White,*,*,United-States,*,*,<=50K
Male,*,Never-married,Higher education,North America,Private,Nontechnical,<=50K
Male,*,Married-civ-spouse,*,*,*,*,>50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
Female,White,spouse not present,*,North America,Private,Nontechnical,<=50K
Male,White,*,*,*,*,*,<=50K
Female,White,spouse not present,Higher education,United-States,Non-Government,*,>50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Female,Black,spouse not present,High School,United-States,Non-Government,*,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,Other,<=50K
Female,White,spouse not present,High School,North America,*,*,<=50K
Male,White,Married-civ-spouse,High School,*,Non-Government,Technical,<=50K
Female,*,*,Higher education,*,Government,*,<=50K
Female,*,*,*,North America,Non-Government,Adm-clerical,<=50K
Female,*,*,Higher education,*,*,*,<=50K
Male,White,spouse not present,High School,North America,Non-Government,*,<=50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,<=50K
Male,White,spouse not present,Higher education,United-States,Non-Government,*,<=50K
Male,*,spouse not present,*,*,Non-Government,*,<=50K
*,White,Divorced,*,North America,*,Technical,<=50K
*,Black,*,*,North America,Non-Government,*,<=50K
Female,*,*,HS-grad,*,Non-Government,*,<=50K
Female,*,spouse not present,*,*,*,*,<=50K
*,*,*,*,*,Non-Government,*,<=50K
Male,White,*,Higher education,North America,Non-Government,Nontechnical,>50K
Female,White,spouse not present,*,*,*,*,<=50K
Male,*,spouse not present,*,United-States,Government,*,<=50K
Male,*,*,Higher education,North America,*,*,<=50K
Male,White,spouse not present,High School,United-States,Non-Government,*,<=50K
Female,White,*,Higher education,United-States,*,Prof-specialty,<=50K
*,*,*,High School,*,Non-Government,*,<=50K
Male,*,*,HS-grad,*,Government,Other,<=50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,*,*,Higher education,North America,Government,Technical,>50K
Female,White,spouse not present,HS-grad,United-States,Private,*,<=50K
Male,*,spouse not present,*,*,Non-Government,*,<=50K
*,Black,spouse not present,High School,United-States,*,*,<=50K
*,*,*,High School,*,Non-Government,*,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,*,*,Higher education,*,*,*,>50K
Female,White,spouse not present,Undergraduate,United-States,Non-Government,*,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,High School,North America,Private,*,>50K
*,*,*,*,*,*,Other,>50K
Male,Black,*,High School,North America,Non-Government,*,<=50K
Female,White,spouse not present,Higher education,United-States,Non-Government,*,<=50K
*,White,*,*,*,Non-Government,Technical,<=50K
Male,*,*,Higher education,North America,Government,Technical,>50K
*,*,*,*,North America,*,*,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
*,*,*,*,*,*,*,<=50K
Male,*,*,*,North America,Private,Technical,<=50K
Male,*,*,Higher education,North America,Government,Technical,<=50K
Male,*,Married-civ-spouse,*,*,Non-Government,*,<=50K
Male,White,Divorced,Higher education,*,Non-Government,Craft-repair,<=50K
Female,*,*,Higher education,*,Government,*,>50K
Male,*,*,*,North America,Private,Technical,>50K
Male,White,spouse not present,High School,United-States,Non-Government,*,<=50K
Female,White,*,Higher education,United-States,*,Prof-specialty,<=50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,>50K
Female,White,spouse not present,Undergraduate,North America,*,*,<=50K
*,*,spouse not present,*,*,Government,Other,<=50K
Female,White,spouse not present,High School,United-States,Private,Nontechnical,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,Other,>50K
*,White,Divorced,*,North America,*,Technical,<=50K
*,White,Married-civ-spouse,High School,United-States,Non-Government,Nontechnical,>50K
Female,White,spouse not present,High School,United-States,Private,Nontechnical,<=50K
Male,*,Married-civ-spouse,High School,United-States,Government,*,<=50K
Male,White,Married-civ-spouse,HS-grad,*,*,*,>50K
Female,*,*,Higher education,*,*,*,<=50K
Male,*,Married-civ-spouse,*,*,Non-Government,*,<=50K
Male,White,Married-civ-spouse,High School,*,Non-Government,Technical,>50K
Male,*,*,*,*,*,*,>50K
Female,White,spouse not present,Higher education,United-States,Non-Government,*,<=50K
Male,*,*,Higher education,*,*,*,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,*,*,*,*,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,Some-college,United-States,Non-Government,Nontechnical,<=50K
*,Black,spouse not present,High School,United-States,*,*,<=50K
Male,Black,*,High School,North America,Non-Government,*,<=50K
*,White,spouse not present,*,North America,Government,*,<=50K
Female,*,Never-married,HS-grad,United-States,Private,Nontechnical,<=50K
Male,White,Married-civ-spouse,*,United-States,Self-emp-not-inc,*,<=50K
Female,White,spouse not present,*,*,*,Other,<=50K
Female,*,*,*,North America,Non-Government,Adm-clerical,<=50K
