sex,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,*,Never-married,Higher education,*,Government,Other,<=50K
Male,White,*,*,*,Non-Government,*,<=50K
Male,White,spouse not present,High School,North America,Private,Nontechnical,<=50K
Male,*,Married-civ-spouse,*,*,Non-Government,*,<=50K
Female,*,*,Undergraduate,North America,*,*,<=50K
Female,White,*,Higher education,United-States,*,Exec-managerial,<=50K
*,*,spouse not present,High School,*,Private,*,<=50K
Male,*,Married-civ-spouse,*,*,Non-Government,*,>50K
Female,White,spouse not present,*,North America,Non-Government,Technical,>50K
Male,White,*,*,*,Non-Government,*,>50K
*,*,Married-civ-spouse,*,*,Non-Government,Nontechnical,>50K
Male,*,Married-civ-spouse,Higher education,*,*,*,>50K
Female,*,spouse not present,Higher education,North America,Private,Other,<=50K
Male,*,spouse not present,*,*,*,*,<=50K
Male,*,Married-civ-spouse,*,North America,*,*,<=50K
*,White,*,High School,*,Non-Government,*,<=50K
Male,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,White,Married-civ-spouse,11th,United-States,Non-Government,Nontechnical,<=50K
Female,*,spouse not present,Higher education,*,Non-Government,*,>50K
*,White,Married-civ-spouse,Graduate,United-States,Non-Government,Prof-specialty,>50K
Female,Black,spouse not present,High School,North America,Non-Government,*,<=50K
Male,*,*,*,United-States,Government,Other,<=50K
Male,White,Married-civ-spouse,*,United-States,Private,*,<=50K
Female,*,*,High School,North America,Private,*,<=50K
Male,White,Married-civ-spouse,Undergraduate,United-States,Local-gov,Technical,>50K
Male,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,White,spouse not present,High School,North America,Private,Nontechnical,<=50K
Male,White,spouse present,HS-grad,United-States,Private,*,<=50K
Male,*,spouse not present,*,United-States,Government,*,<=50K
Male,*,*,Undergraduate,United-States,Private,*,<=50K
Male,White,spouse not present,*,*,Private,*,<=50K
Male,White,*,*,*,*,*,<=50K
*,Black,*,Higher education,United-States,Government,*,<=50K
Male,White,spouse not present,High School,North America,Private,*,<=50K
Male,White,spouse not present,*,North America,*,*,<=50K
Female,*,*,*,United-States,Private,*,<=50K
Male,*,Married-civ-spouse,*,United-States,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,High School,United-States,Private,Machine-op-inspct,<=50K
Male,White,spouse present,Undergraduate,United-States,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Technical,<=50K
Female,White,spouse not present,*,North America,Private,Other,<=50K
Male,White,spouse not present,*,United-States,Private,Nontechnical,<=50K
*,*,*,*,*,Government,*,>50K
Male,White,*,HS-grad,United-States,*,Machine-op-inspct,<=50K
Female,*,spouse not present,Higher education,*,Non-Government,*,<=50K
Male,White,Married-civ-spouse,Higher education,United-States,Government,Technical,<=50K
Male,*,spouse not present,*,*,*,*,<=50K
Female,*,*,Undergraduate,North America,*,*,<=50K
Female,White,Married-civ-spouse,Higher education,North America,Non-Government,Technical,>50K
Male,White,spouse not present,*,North America,*,*,>50K
Male,White,*,High School,United-States,Non-Government,Nontechnical,<=50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Technical,>50K
Male,*,Married-civ-spouse,Primary School,*,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,Higher education,North America,Private,Other,<=50K
Male,*,Married-civ-spouse,High School,*,*,*,<=50K
Male,White,*,HS-grad,United-States,*,Machine-op-inspct,<=50K
Male,White,*,*,*,Non-Government,*,<=50K
Male,*,Married-civ-spouse,High School,*,*,*,<=50K
*,White,Married-civ-spouse,Graduate,United-States,Non-Government,Prof-specialty,>50K
Male,White,spouse not present,*,North America,*,*,<=50K
Male,White,spouse present,HS-grad,United-States,Private,*,<=50K
*,White,spouse not present,Higher education,United-States,*,Other,<=50K
Female,*,*,*,United-States,Private,*,>50K
Male,White,*,*,*,Non-Government,*,>50K
Male,White,spouse not present,*,North America,*,*,<=50K
Female,Black,*,*,North America,Private,Nontechnical,<=50K
Male,White,*,*,*,Non-Government,*,>50K
Male,White,spouse not present,*,North America,*,*,<=50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Technical,<=50K
Male,*,spouse not present,*,North America,Private,Other-service,<=50K
Male,White,Married-civ-spouse,*,United-States,Non-Government,Other,<=50K
Female,White,Never-married,*,North America,Non-Government,Other-service,<=50K
*,*,*,High School,North America,Government,*,<=50K
Male,White,Never-married,High School,United-States,Non-Government,Nontechnical,<=50K
Male,White,*,*,*,Non-Government,*,<=50K
Female,*,*,*,United-States,Private,*,<=50K
*,White,Married-civ-spouse,HS-grad,North America,Non-Government,Sales,<=50K
*,White,spouse not present,High School,North America,Private,Technical,>50K
Female,*,spouse not present,High School,*,Non-Government,*,<=50K
*,*,*,High School,North America,Government,*,>50K
*,White,Married-civ-spouse,Graduate,United-States,Non-Government,Prof-specialty,<=50K
Male,White,Never-married,High School,United-States,Non-Government,Nontechnical,<=50K
Female,White,Never-married,Higher education,United-States,Government,Technical,>50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Technical,<=50K
Female,White,spouse not present,Higher education,*,Non-Government,Technical,<=50K
Female,*,*,Undergraduate,North America,*,*,<=50K
Male,*,Married-civ-spouse,Higher education,United-States,Government,Other,>50K
Male,*,spouse not present,*,United-States,Government,*,<=50K
Male,*,Married-civ-spouse,*,United-States,Non-Government,Technical,>50K
Male,White,*,*,*,Non-Government,*,>50K
Female,*,*,*,*,*,*,<=50K
Male,*,*,High School,United-States,*,Other,<=50K
Male,White,*,*,*,Non-Government,*,>50K
Male,White,*,*,*,Non-Government,*,>50K
Female,White,spouse not present,*,North America,Non-Government,Technical,<=50K
Female,White,Never-married,Some-college,United-States,*,Technical,<=50K
Male,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,White,*,*,United-States,Non-Government,Technical,>50K
Male,White,spouse not present,*,United-States,Private,Nontechnical,<=50K
*,*,spouse not present,*,North America,Government,*,<=50K
Male,White,Married-civ-spouse,High School,United-States,Private,Nontechnical,<=50K
Male,White,Never-married,Higher education,United-States,Non-Government,Sales,<=50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,Technical,>50K
Male,*,Married-civ-spouse,High School,*,*,*,>50K
Female,*,Married-civ-spouse,Undergraduate,North America,Private,*,<=50K
Female,*,spouse not present,*,*,Private,*,<=50K
Male,White,Married-civ-spouse,High School,North America,Private,Nontechnical,<=50K
Male,White,*,*,*,Non-Government,*,<=50K
*,*,*,*,*,Government,*,>50K
Male,White,*,*,*,Non-Government,*,<=50K
Male,White,Never-married,HS-grad,United-States,*,*,<=50K
Female,White,Never-married,Some-college,*,Non-Government,*,<=50K
Male,White,*,*,*,Non-Government,*,<=50K
Male,*,spouse not present,*,*,*,Nontechnical,<=50K
Male,White,spouse present,Undergraduate,United-States,Government,Technical,>50K
*,*,*,*,*,Private,Other,<=50K
Female,*,Married-civ-spouse,Undergraduate,North America,Private,*,>50K
Female,*,Never-married,Higher education,United-States,Non-Government,Other,<=50K
Male,White,Married-civ-spouse,*,United-States,Non-Government,Other,>50K
Male,*,spouse not present,*,United-States,*,*,<=50K
Female,White,Never-married,Higher education,United-States,Private,Nontechnical,<=50K
Female,*,Never-married,HS-grad,United-States,*,Other-service,<=50K
Male,White,*,*,United-States,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,Undergraduate,North America,Private,*,<=50K
Female,*,*,*,United-States,Private,Technical,<=50K
Male,*,Married-civ-spouse,Higher education,*,*,*,>50K
Male,White,*,*,United-States,Non-Government,Technical,<=50K
Female,White,*,*,North America,Non-Government,Other,<=50K
Male,White,Never-married,Higher education,United-States,Non-Government,Sales,<=50K
Male,*,Married-civ-spouse,Higher education,*,*,*,>50K
Male,White,*,*,United-States,Non-Government,Technical,<=50K
