sex,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,White,spouse not present,*,North America,*,*,<=50K
*,*,*,Higher education,United-States,*,*,<=50K
Male,*,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,*,Married-civ-spouse,*,North America,Non-Government,*,<=50K
*,*,*,*,*,Non-Government,*,<=50K
Female,White,*,*,United-States,Non-Government,Nontechnical,<=50K
Female,*,spouse not present,High School,*,Non-Government,Other,<=50K
Male,White,Married-civ-spouse,High School,United-States,Self-emp-not-inc,*,>50K
Female,*,spouse not present,*,North America,Private,Technical,>50K
*,*,*,Higher education,United-States,*,*,>50K
Male,*,Married-civ-spouse,*,North America,Non-Government,*,>50K
*,*,*,Higher education,*,Government,*,>50K
Female,*,spouse not present,Higher education,United-States,*,*,<=50K
*,*,*,Higher education,*,Private,*,<=50K
Male,*,*,High School,North America,Private,*,<=50K
Male,*,spouse not present,*,North America,Non-Government,*,<=50K
Male,White,spouse not present,*,North America,Private,*,<=50K
Male,White,Married-civ-spouse,High School,North America,Private,*,<=50K
Female,*,spouse not present,Higher education,United-States,*,*,>50K
Male,White,Married-civ-spouse,*,*,Non-Government,Technical,>50K
Female,*,spouse not present,High School,North America,Private,*,<=50K
Male,Black,*,*,North America,*,Other,<=50K
Male,White,Married-civ-spouse,High School,United-States,Private,Other,<=50K
Female,White,Divorced,*,North America,Non-Government,Technical,<=50K
Male,*,Married-civ-spouse,*,United-States,Government,Technical,>50K
Male,White,spouse not present,*,North America,Private,*,<=50K
Male,*,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,*,*,High School,*,Private,Technical,<=50K
Male,White,spouse not present,*,North America,*,*,<=50K
*,*,*,Higher education,*,Private,*,<=50K
*,*,spouse not present,Undergraduate,North America,Private,Nontechnical,<=50K
Male,White,*,Undergraduate,*,Government,*,<=50K
Male,Black,*,*,North America,*,*,<=50K
Male,White,spouse not present,*,North America,Private,*,<=50K
Male,White,spouse not present,Some-college,North America,Non-Government,*,<=50K
Female,*,spouse present,High School,*,Non-Government,Other,<=50K
Male,White,Married-civ-spouse,Professional Education,North America,Non-Government,Technical,<=50K
Male,*,*,High School,*,Private,Technical,<=50K
Male,White,spouse present,Bachelors,United-States,Non-Government,Technical,<=50K
Male,*,Married-civ-spouse,*,*,Private,Technical,<=50K
Female,*,spouse not present,High School,North America,Private,Other,<=50K
Male,*,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
*,*,*,Higher education,*,Government,*,>50K
Male,*,*,High School,*,Private,Technical,<=50K
Female,*,spouse not present,Higher education,North America,Non-Government,*,<=50K
Male,*,Married-civ-spouse,*,United-States,Government,Technical,<=50K
Male,White,spouse not present,*,North America,Non-Government,*,<=50K
Female,*,*,*,North America,Non-Government,Nontechnical,<=50K
Female,White,Married-civ-spouse,*,*,*,Technical,>50K
Male,White,spouse not present,*,North America,*,*,>50K
Male,*,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,*,Married-civ-spouse,*,*,Private,Technical,>50K
Male,*,Married-civ-spouse,*,*,Private,Technical,<=50K
Male,White,Married-civ-spouse,Higher education,North America,Private,Other,<=50K
Male,White,spouse present,High School,North America,Private,Other,<=50K
Male,*,*,High School,*,Private,Technical,<=50K
*,*,*,Higher education,United-States,*,*,<=50K
Male,White,Married-civ-spouse,High School,United-States,Private,Other,<=50K
Male,White,Married-civ-spouse,*,*,Non-Government,Technical,>50K
Male,White,spouse not present,Some-college,North America,Non-Government,*,<=50K
Male,*,*,High School,*,Private,Technical,<=50K
Female,*,spouse not present,Higher education,United-States,*,*,<=50K
*,*,Married-civ-spouse,*,North America,Private,Other,>50K
*,*,*,Higher education,United-States,*,*,>50K
Male,White,spouse not present,Some-college,North America,Non-Government,*,<=50K
Female,*,*,*,North America,*,*,<=50K
*,*,*,Higher education,United-States,*,*,>50K
Male,White,spouse not present,Some-college,North America,Non-Government,*,<=50K
Male,*,Married-civ-spouse,*,*,Private,Technical,<=50K
Male,*,*,High School,North America,Private,*,<=50K
Male,White,Married-civ-spouse,Higher education,United-States,Private,Other,<=50K
Female,*,spouse not present,High School,*,Non-Government,Other,<=50K
Male,White,Married-civ-spouse,*,North America,*,Other,<=50K
Male,*,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,White,Married-civ-spouse,Higher education,North America,Private,Other,<=50K
*,*,Married-civ-spouse,*,North America,Private,Other,<=50K
Male,White,Married-civ-spouse,HS-grad,North America,Non-Government,*,<=50K
Female,White,Divorced,*,North America,Non-Government,Technical,>50K
Female,*,*,*,North America,Non-Government,Nontechnical,<=50K
*,*,*,*,North America,*,*,>50K
Male,White,Married-civ-spouse,*,*,Non-Government,Technical,<=50K
Male,*,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Female,White,*,*,*,*,*,>50K
Male,*,Married-civ-spouse,*,*,Private,Technical,<=50K
Female,*,spouse not present,Higher education,United-States,*,*,<=50K
*,*,*,*,*,Non-Government,*,<=50K
Male,*,*,Higher education,North America,*,Other,>50K
Male,White,spouse not present,*,*,*,*,<=50K
Male,White,Married-civ-spouse,Higher education,North America,Non-Government,Technical,>50K
*,*,*,Higher education,United-States,*,*,>50K
*,White,spouse not present,Higher education,*,*,*,<=50K
*,*,*,*,North America,Government,*,<=50K
*,*,*,Higher education,United-States,*,*,>50K
*,*,*,Higher education,United-States,*,*,>50K
Female,White,spouse not present,Higher education,North America,Non-Government,Technical,<=50K
Female,*,spouse not present,*,North America,Private,Technical,<=50K
Male,White,spouse not present,*,North America,Private,*,<=50K
Male,White,Married-civ-spouse,HS-grad,North America,Non-Government,*,>50K
Male,*,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Female,*,spouse not present,High School,*,*,Other,<=50K
Male,White,Married-civ-spouse,HS-grad,North America,Non-Government,*,<=50K
